Individual_ID		state_names	starting_probabilities	transitions	emissions
HG00096	0	Human	0.96909585395199	[0.9992575295600031, 0.0007424704399960001]	0.025284698493598
HG00096	1	Archaic	0.030904146049992004	[0.023282220721558, 0.9767177792784411]	0.33379621540042104
HG00097	0	Human	0.9697337313500161	[0.9992914747918881, 0.000708525208111]	0.026309606680367
HG00097	1	Archaic	0.030266268653304004	[0.022700146406545003, 0.9772998535934541]	0.34037083725731404
HG00099	0	Human	0.9697302561899481	[0.999244665003553, 0.000755334996446]	0.025966682200504004
HG00099	1	Archaic	0.030269743806502002	[0.024198286007174, 0.9758017139928251]	0.32883479455151904
HG00100	0	Human	0.9700074749622051	[0.999257150787182, 0.0007428492128170001]	0.026668009328134002
HG00100	1	Archaic	0.029992525045542003	[0.024025120824419002, 0.9759748791755801]	0.33336950850146
HG00101	0	Human	0.9686194011047811	[0.999234085365542, 0.0007659146344570001]	0.025792296583387
HG00101	1	Archaic	0.0313805988932	[0.023637384509553, 0.9763626154904461]	0.314912009842476
HG00403	0	Human	0.9608410651862931	[0.9990941520154081, 0.0009058479845910001]	0.021438359457440003
HG00403	1	Archaic	0.039158934811185	[0.022226768786297, 0.9777732312137021]	0.324583788067617
HG00404	0	Human	0.962212450598332	[0.9991633032129531, 0.000836696787046]	0.024048693144806003
HG00404	1	Archaic	0.037787549406880006	[0.021305592044801, 0.9786944079551981]	0.34068402209152104
HG00406	0	Human	0.9631320550951611	[0.999159848534888, 0.0008401514651110001]	0.025301469498234003
HG00406	1	Archaic	0.036867944907384	[0.021947745185313002, 0.978052254814686]	0.33478394780089504
HG00407	0	Human	0.962803731090427	[0.9991908699553931, 0.000809130044606]	0.025988337852193
HG00407	1	Archaic	0.037196268916058005	[0.020943658320274002, 0.9790563416797251]	0.33759366906999305
HG00409	0	Human	0.9629296212085041	[0.9991664818589321, 0.0008335181410670001]	0.026895773184384002
HG00409	1	Archaic	0.037070378785886	[0.021651263379608002, 0.9783487366203911]	0.341068035759832
