chrom	start	end	frequency
chr2	855000	860000	2
chr2	860000	861000	6
chr2	861000	885000	32
chr2	885000	901000	33
chr2	901000	902000	34
chr2	902000	929000	35
chr2	929000	930000	33
chr2	930000	932000	32
chr2	932000	933000	31
chr2	933000	934000	3
chr2	934000	942000	1
chr2	1716000	1719000	1
chr2	1719000	1739000	7
chr2	1739000	1752000	8
chr2	1752000	1754000	5
chr2	1754000	1776000	1
chr2	1776000	1781000	2
chr2	1781000	1785000	7
chr2	1785000	1788000	9
chr2	1788000	1790000	10
chr2	1790000	1791000	11
chr2	1791000	1804000	15
chr2	1804000	1821000	16
chr2	1821000	1844000	14
chr2	1844000	1870000	13
chr2	1870000	1880000	11
chr2	1880000	1881000	11
chr2	1881000	1890000	10
chr2	1890000	1893000	9
chr2	1893000	1899000	8
chr2	1899000	1900000	7
chr2	1900000	1902000	5
chr2	1902000	1923000	9
chr2	1923000	1925000	10
chr2	1925000	1998000	9
chr2	1998000	2001000	8
chr2	2001000	2004000	5
chr2	2004000	2005000	6
chr2	2005000	2006000	19
chr2	2006000	2007000	20
chr2	2007000	2008000	22
chr2	2008000	2047000	22
chr2	2047000	2076000	23
chr2	2076000	2156000	22
chr2	2156000	2161000	23
chr2	2161000	2162000	20
chr2	2162000	2163000	19
chr2	2163000	2189000	16
chr2	2189000	2190000	7
chr2	2190000	2197000	5
chr2	2197000	2224000	4
chr2	2405000	2425000	1
chr2	2477000	2522000	3
chr2	2522000	2525000	2
chr2	2525000	2535000	1
chr2	2917000	2928000	1
chr2	3397000	3470000	2
chr2	3470000	3485000	1
chr2	3627000	3630000	1
chr2	3630000	3651000	2
chr2	3695000	3696000	6
chr2	3696000	3717000	8
chr2	3717000	3718000	3
chr2	3718000	3730000	1
chr2	3755000	3771000	1
chr2	3812000	3813000	1
chr2	3813000	3814000	23
chr2	3814000	3826000	24
chr2	3826000	3876000	23
chr2	3876000	3877000	9
chr2	3877000	3878000	6
chr2	3878000	3879000	5
chr2	3879000	3880000	4
chr2	4007000	4008000	1
chr2	4008000	4014000	3
chr2	4014000	4016000	5
chr2	4016000	4018000	6
chr2	4018000	4037000	11
chr2	4037000	4041000	13
chr2	4041000	4042000	17
chr2	4042000	4044000	19
chr2	4044000	4051000	25
chr2	4051000	4060000	26
chr2	4060000	4077000	24
chr2	4077000	4082000	22
chr2	4082000	4094000	21
chr2	4094000	4095000	15
chr2	4095000	4114000	14
chr2	4114000	4116000	13
chr2	4116000	4122000	12
chr2	4122000	4123000	11
chr2	4123000	4130000	9
chr2	4130000	4140000	1
chr2	4163000	4165000	1
chr2	4165000	4166000	3
chr2	4166000	4167000	26
chr2	4167000	4187000	29
chr2	4187000	4188000	23
chr2	4188000	4190000	22
chr2	4190000	4191000	23
chr2	4191000	4192000	25
chr2	4192000	4193000	26
chr2	4193000	4195000	28
chr2	4195000	4234000	29
chr2	4234000	4237000	16
chr2	4237000	4238000	15
chr2	4238000	4273000	14
chr2	4273000	4274000	8
chr2	4274000	4275000	6
chr2	4275000	4278000	5
chr2	4278000	4282000	4
chr2	4282000	4303000	1
chr2	4404000	4471000	1
chr2	4474000	4480000	1
chr2	4480000	4487000	2
chr2	4487000	4495000	7
chr2	4495000	4501000	8
chr2	4501000	4502000	16
chr2	4502000	4509000	22
chr2	4509000	4510000	23
chr2	4510000	4539000	25
chr2	4539000	4545000	24
chr2	4545000	4549000	25
chr2	4549000	4562000	24
chr2	4562000	4563000	18
chr2	4563000	4566000	12
chr2	4566000	4567000	10
chr2	4567000	4568000	8
chr2	4568000	4578000	4
chr2	4578000	4586000	5
chr2	4586000	4634000	4
chr2	4634000	4647000	3
chr2	4647000	4650000	4
chr2	4650000	4654000	6
chr2	4654000	4662000	7
chr2	4662000	4664000	6
chr2	4664000	4665000	5
chr2	4665000	4667000	6
chr2	4667000	4669000	7
chr2	4669000	4670000	8
chr2	4670000	4708000	11
chr2	4708000	4750000	7
chr2	4750000	4770000	17
chr2	4770000	4783000	5
chr2	4783000	4803000	2
chr2	4803000	4823000	1
chr2	4830000	4835000	1
chr2	4835000	4862000	5
chr2	4862000	4893000	7
chr2	4893000	4947000	6
chr2	4947000	4950000	4
chr2	4950000	4951000	2
chr2	5115000	5206000	1
chr2	5206000	5217000	2
chr2	5217000	5234000	5
chr2	5234000	5235000	4
chr2	5235000	5266000	5
chr2	5266000	5267000	2
chr2	5267000	5303000	1
chr2	5585000	5590000	1
chr2	5590000	5591000	2
chr2	5591000	5593000	3
chr2	5593000	5621000	9
chr2	5637000	5699000	1
chr2	5711000	5743000	1
chr2	7333000	7339000	2
chr2	7339000	7342000	41
chr2	7342000	7344000	42
chr2	7344000	7378000	43
chr2	7378000	7379000	44
chr2	7379000	7395000	46
chr2	7395000	7406000	45
chr2	7406000	7408000	30
chr2	7408000	7409000	28
chr2	7409000	7410000	26
chr2	7410000	7411000	13
chr2	7411000	7413000	12
chr2	7413000	7414000	10
chr2	7414000	7416000	9
chr2	7416000	7417000	8
chr2	7417000	7424000	1
chr2	7957000	7961000	2
chr2	7961000	7989000	7
chr2	7989000	7990000	9
chr2	7990000	7993000	10
chr2	7993000	8024000	9
chr2	8024000	8038000	6
chr2	8038000	8042000	1
chr2	8152000	8158000	1
chr2	8158000	8163000	2
chr2	8163000	8166000	3
