chrom	start	end	frequency
chr1	1516000	1517000	5
chr1	1517000	1518000	8
chr1	1518000	1520000	9
chr1	1520000	1521000	13
chr1	1521000	1522000	38
chr1	1522000	1530000	39
chr1	1530000	1531000	40
chr1	1531000	1542000	41
chr1	1542000	1559000	40
chr1	1559000	1560000	11
chr1	1560000	1561000	6
chr1	1561000	1562000	1
chr1	1874000	1877000	1
chr1	1877000	1879000	2
chr1	1879000	1880000	4
chr1	1880000	1886000	10
chr1	1886000	1887000	11
chr1	1887000	1888000	12
chr1	1888000	1893000	13
chr1	1893000	1896000	14
chr1	1896000	1897000	15
chr1	1897000	1920000	18
chr1	1920000	1921000	17
chr1	1921000	1924000	16
chr1	1924000	1925000	14
chr1	1925000	1926000	12
chr1	1926000	1928000	9
chr1	1928000	1931000	10
chr1	1931000	1935000	7
chr1	1935000	1946000	6
chr1	1946000	1956000	7
chr1	1956000	1959000	9
chr1	1959000	1960000	20
chr1	1960000	1961000	22
chr1	1961000	1967000	23
chr1	1967000	1968000	22
chr1	1968000	1973000	21
chr1	1973000	1979000	22
chr1	1979000	1983000	38
chr1	1983000	1984000	36
chr1	1984000	1985000	37
chr1	1985000	1986000	36
chr1	1986000	2007000	34
chr1	2007000	2008000	33
chr1	2008000	2012000	28
chr1	2012000	2013000	27
chr1	2013000	2018000	26
chr1	2018000	2019000	21
chr1	2019000	2044000	20
chr1	2044000	2063000	21
chr1	2063000	2064000	17
chr1	2064000	2065000	2
chr1	2099000	2101000	1
chr1	2101000	2102000	6
chr1	2102000	2134000	7
chr1	2134000	2156000	1
chr1	2205000	2215000	1
chr1	2215000	2243000	2
chr1	2243000	2254000	3
chr1	2254000	2256000	2
chr1	2256000	2266000	1
chr1	2266000	2303000	2
chr1	2356000	2368000	1
chr1	2368000	2389000	6
chr1	2389000	2403000	5
chr1	2768000	2776000	3
chr1	2776000	2777000	5
chr1	2777000	2778000	11
chr1	2778000	2779000	15
chr1	2779000	2780000	48
chr1	2780000	2781000	59
chr1	2781000	2789000	91
chr1	2789000	2790000	92
chr1	2790000	2791000	94
chr1	2791000	2793000	98
chr1	2793000	2802000	96
chr1	2802000	2803000	94
chr1	2803000	2804000	87
chr1	2804000	2805000	36
chr1	2805000	2806000	35
chr1	2806000	2807000	32
chr1	2807000	2808000	19
chr1	2808000	2810000	17
chr1	2810000	2819000	16
chr1	2819000	2822000	17
chr1	2822000	2830000	16
chr1	2830000	2833000	17
chr1	2833000	2846000	18
chr1	2846000	2864000	16
chr1	2864000	2874000	17
chr1	2874000	2875000	18
chr1	2875000	2877000	19
chr1	2877000	2878000	15
chr1	2878000	2881000	18
chr1	2881000	2882000	17
chr1	2882000	2883000	16
chr1	2883000	2884000	15
chr1	2884000	2885000	16
chr1	2885000	2886000	27
